x_ref,y_ref,x_SMC,y_SMC,x_AFSMC,y_AFSMC
8.162500000000001,12.405813909212084,7.63817184196009,11.497942531129688,7.70834426087779,11.49334269541031
8.175000000000002,12.427464544306694,7.650691587701395,11.519610262509788,7.720860976410046,11.515012177380855
8.187500000000002,12.449115179401305,7.663211232359376,11.541277894152797,7.733364035506629,11.536689383764672
8.200000000000001,12.470765814495914,7.675730756386628,11.56294541563756,7.745785782317514,11.558413107555218
8.212500000000002,12.492416449590527,7.688250140885081,11.58461281685071,7.75819428972392,11.580144196057566
8.225000000000001,12.514067084685138,7.700769367611762,11.606280087985851,7.770524213069157,11.601919748095995
8.2375,12.535717719779749,7.713288418983581,11.627947219542646,7.782833433015002,11.623706770413753
8.250000000000002,12.55736835487436,7.725807278081178,11.649614202325777,7.795067218448501,11.645535981805764
8.262500000000003,12.579018989968972,7.73832592865184,11.671281027443802,7.807272511541592,11.667380860915458
8.275000000000002,12.600669625063583,7.750844355111505,11.692947686307901,7.81940595569144,11.68926543631508
8.287500000000001,12.622320260158192,7.763362542545888,11.714614170630519,7.831503431837836,11.711169605562782
8.3,12.643970895252803,7.775880476710738,11.736280472423909,7.843533076935507,11.733110775722595
8.312500000000004,12.665621530347416,7.7883981440312615,11.75794658399857,7.855519986343081,11.755074982714143
8.325000000000003,12.687272165442026,7.80091553160072,11.779612497961596,7.867459961930465,11.777064384761264
8.337500000000002,12.708922800536637,7.8134326271782415,11.801278207214914,7.879364755855546,11.799072486013927
8.350000000000001,12.730573435631246,7.825949419185861,11.822943704953449,7.8912112365919,11.821111650439642
8.3625,12.752224070725857,7.838465896704812,11.844608984663187,7.903002852740204,11.843179825330072
8.375000000000002,12.77387470582047,7.850982049471105,11.86627404011914,7.914781545596982,11.865254496393632
8.387500000000003,12.79552534091508,7.863497867870404,11.88793886538324,7.926507347255445,11.887356893082558
8.400000000000002,12.817175976009691,7.87601334293224,11.909603454802136,7.938218555174908,11.909466600447873
8.412500000000001,12.838826611104302,7.888528466323579,11.931267803004904,7.949881075660027,11.931601593388585
8.425000000000002,12.860477246198915,7.901043230341765,11.95293190490068,7.961524388804577,11.953746251624814
8.437500000000002,12.882127881293524,7.913557627906883,11.974595755676212,7.973123440157745,11.975913673318573
8.450000000000003,12.903778516388135,7.926071652553543,11.99625935079332,7.984699911346889,11.998092435255664
8.462500000000002,12.925429151482746,7.938585298422135,12.01792268598629,7.996236727389284,12.020291383433706
8.475000000000001,12.947079786577358,7.951098560249559,12.03958575725918,8.00774896240762,12.042502615354033
8.487500000000002,12.96873042167197,7.963611433359474,12.061248560883051,8.019226281174324,12.064731430172612
8.500000000000002,12.990381056766578,7.97612391365208,12.082911093393127,8.030678446823787,12.08697272914008
8.512500000000001,13.01203169186119,7.988635997593463,12.104573351585872,8.042100512819404,12.109229011016376
8.525000000000002,13.033682326955802,8.001147682204534,12.126235332516,8.053498252661614,12.131497266361452
8.537500000000001,13.055332962050413,8.013658965049574,12.14789703349341,8.064870729530773,12.153777936403525
8.55,13.076983597145022,8.026169844224423,12.169558452080045,8.076220987201065,12.176069432623633
8.562500000000002,13.098634232239634,8.038680318344332,12.191219586086694,8.087550781080953,12.198370833023565
8.575000000000003,13.120284867334247,8.051190386531502,12.212880433569707,8.098862469683683,12.220680916409444
8.587500000000002,13.141935502428856,8.063700048402344,12.234540992827656,8.110158374278468,12.242998488115958
8.600000000000001,13.163586137523467,8.07620930405447,12.256201262397923,8.121440776025102,12.26532238037637
